,Is_Male,ParentEduc,StandardLunch,TestPrep,PracticeSport,WklyStudyHours,MathScore,ReadingScore,WritingScore,EthnicGroup_group A,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E
57,1,3,0,0.0,1,1,0.62,0.61,0.55,1,0,0,0,0
58,0,0,1,0.0,1,1,0.59,0.58,0.59,0,0,0,1,0
59,1,0,1,0.0,0,0,0.63,0.62,0.58,0,1,0,0,0
60,1,0,0,0.0,1,1,0.45,0.37,0.37,0,0,0,1,0
61,0,2,1,0.0,2,1,0.61,0.73,0.75,0,0,1,0,0
63,0,3,1,0.0,1,1,0.39,0.64,0.57,0,0,1,0,0
64,1,2,1,1.0,1,2,0.64,0.55,0.64,0,0,0,1,0
65,0,3,0,0.0,2,1,0.42,0.51,0.49,1,0,0,0,0
66,1,0,0,0.0,0,1,0.59,0.56,0.54,0,0,1,0,0
67,1,0,1,0.5,1,0,0.47,0.48,0.4,0,0,1,0,0
68,1,3,0,0.0,1,1,0.44,0.41,0.38,0,1,0,0,0
69,1,0,1,0.0,1,1,0.28,0.25,0.21,0,0,0,0,1
71,0,0,1,1.0,1,2,0.62,0.75,0.73,0,0,0,1,0
72,0,5,1,0.0,0,1,0.6,0.68,0.68,0,0,0,0,1
73,0,3,1,0.0,2,2,0.49,0.5,0.52,0,1,0,0,0
75,1,2,0,1.0,1,1,0.5,0.47,0.54,1,0,0,0,0
76,1,3,1,0.0,2,1,0.74,0.64,0.64,0,0,0,0,1
77,1,1,0,0.0,0,1,0.4,0.38,0.33,0,0,0,1,0
78,0,2,1,0.0,1,1,0.73,0.8,0.82,0,0,1,0,0
79,0,2,0,0.0,1,0,0.73,0.81,0.86,0,0,1,0,0
80,0,3,1,0.0,1,1,0.71,0.71,0.74,0,0,0,1,0
81,0,2,1,0.0,2,0,0.57,0.69,0.67,1,0,0,0,0
82,0,0,1,0.0,1,2,0.75,0.87,0.83,0,0,0,1,0
83,1,1,0,0.0,2,1,0.27,0.34,0.36,0,0,1,0,0
84,1,1,1,0.0,1,0,0.68,0.77,0.69,0,0,1,0,0
85,1,3,0,1.0,2,2,0.45,0.46,0.52,0,0,1,0,0
86,0,2,1,0.0,2,1,0.81,0.87,0.94,0,1,0,0,0
87,1,0,1,1.0,2,1,0.63,0.65,0.61,0,1,0,0,0
89,0,2,0,0.0,2,2,0.61,0.69,0.64,0,0,0,1,0
90,0,4,1,0.0,2,0,0.64,0.66,0.62,0,0,0,1,0
91,1,2,1,0.0,1,1,0.79,0.67,0.67,0,1,0,0,0
92,1,4,1,1.0,1,1,0.68,0.74,0.74,0,0,0,1,0
93,0,3,1,0.0,2,1,0.87,0.92,0.91,0,0,0,1,0
94,1,1,1,1.0,2,1,0.61,0.44,0.48,0,1,0,0,0
96,0,2,1,0.0,1,1,0.58,0.67,0.72,0,0,1,0,0
97,0,5,1,0.0,1,1,0.87,1.0,1.0,0,0,0,1,0
99,0,3,0,0.0,1,1,0.52,0.76,0.7,0,1,0,0,0
100,0,0,1,0.0,2,1,0.72,0.64,0.73,0,1,0,0,0
101,0,3,0,1.0,1,2,0.79,0.9,0.99,0,0,0,1,0
102,1,1,1,0.0,2,1,0.63,0.55,0.5,0,0,1,0,0
103,1,3,1,0.0,1,1,0.54,0.53,0.47,1,0,0,0,0
104,0,2,1,0.0,0,0,0.47,0.56,0.51,0,0,0,1,0
105,0,4,1,1.0,2,0,0.98,0.99,1.0,0,0,0,0,1
106,1,1,1,0.0,1,1,0.84,0.77,0.74,0,0,1,0,0
107,0,4,0,0.0,0,1,0.72,0.83,0.79,0,1,0,0,0
108,0,4,1,0.0,0,1,0.75,0.8,0.77,0,0,0,1,0
109,0,0,1,0.0,2,2,0.54,0.64,0.63,0,0,0,1,0
110,0,2,1,0.0,1,1,0.55,0.69,0.65,0,0,1,0,0
111,0,4,1,1.0,0,1,0.76,0.9,0.86,0,0,1,0,0
112,1,3,1,1.0,1,0,0.88,0.87,0.9,0,1,0,0,0
113,0,2,1,1.0,2,1,0.9,0.94,0.95,0,0,1,0,0
115,1,2,1,0.0,2,0,0.82,0.79,0.73,0,0,0,0,1
116,0,1,1,0.0,0,2,0.86,0.94,0.85,0,1,0,0,0
118,1,2,1,0.5,2,0,0.64,0.76,0.74,0,0,0,1,0
119,1,5,1,0.0,0,0,0.77,0.81,0.72,0,0,0,1,0
120,0,4,1,0.0,2,1,0.52,0.49,0.52,1,0,0,0,0
121,1,5,1,0.0,1,0,0.87,0.84,0.82,0,0,0,1,0
122,1,0,0,1.0,2,0,0.52,0.36,0.4,0,0,1,0,0
125,1,4,0,1.0,1,2,0.76,0.8,0.76,0,0,0,1,0
126,1,4,1,0.0,1,0,0.56,0.54,0.47,0,0,1,0,0
127,1,0,1,1.0,1,1,0.51,0.54,0.41,0,1,0,0,0
128,1,1,1,0.0,1,0,0.67,0.54,0.54,0,0,0,0,1
129,0,3,1,0.5,1,1,0.59,0.66,0.67,0,0,1,0,0
130,1,2,1,1.0,1,2,0.73,0.61,0.7,0,0,0,1,0
131,0,0,1,0.0,1,1,0.76,0.72,0.71,0,0,0,1,0
132,0,2,0,0.0,2,1,0.6,0.62,0.65,0,0,1,0,0
133,0,2,0,1.0,2,0,0.41,0.54,0.54,0,0,0,0,1
134,1,1,1,0.0,1,1,0.57,0.43,0.47,1,0,0,0,0
135,1,2,1,0.0,1,2,0.9,0.74,0.79,0,0,0,1,0
136,0,2,0,0.0,2,0,0.21,0.38,0.33,0,0,1,0,0
137,0,4,1,1.0,1,0,0.65,0.73,0.79,0,0,0,1,0
138,1,3,0,1.0,2,1,1.0,1.0,0.95,0,0,0,0,1
139,1,0,1,1.0,1,1,0.62,0.67,0.69,1,0,0,0,0
140,0,3,1,1.0,1,0,0.57,0.68,0.64,0,1,0,0,0
141,1,4,1,0.0,1,1,0.54,0.49,0.47,0,0,0,1,0
142,1,0,1,0.0,0,0,0.58,0.65,0.58,0,0,0,1,0
143,0,2,1,1.0,2,0,0.69,0.88,0.88,0,0,1,0,0
144,0,1,0,1.0,2,1,0.67,0.75,0.79,0,0,0,0,1
146,0,3,1,0.5,2,1,0.62,0.87,0.89,0,1,0,0,0
147,1,3,0,0.0,2,2,0.7,0.63,0.66,0,0,0,1,0
148,1,3,0,1.0,1,1,0.82,0.78,0.74,0,1,0,0,0
149,0,2,0,1.0,1,1,0.75,0.88,0.85,0,0,0,0,1
150,1,5,0,0.0,0,1,0.48,0.53,0.52,0,1,0,0,0
151,1,1,1,0.0,1,1,0.52,0.53,0.49,0,0,1,0,0
152,0,5,1,0.0,0,0,0.76,0.89,0.86,0,0,0,0,1
153,0,4,1,1.0,1,1,0.96,1.0,1.0,0,0,1,0,0
154,1,1,0,1.0,1,1,0.53,0.51,0.51,0,0,1,0,0
155,0,5,0,1.0,2,2,0.62,0.79,0.83,0,1,0,0,0
156,0,1,1,1.0,2,1,0.7,0.84,0.79,0,1,0,0,0
157,1,1,1,1.0,2,2,0.76,0.75,0.77,1,0,0,0,0
158,1,0,1,0.0,1,0,0.91,0.86,0.76,0,0,0,0,1
159,0,2,1,0.0,0,1,0.76,0.84,0.78,0,0,0,1,0
160,0,3,1,0.0,1,1,0.63,0.67,0.7,0,0,1,0,0
161,0,4,0,1.0,1,0,0.41,0.5,0.52,0,0,1,0,0
162,0,5,1,1.0,1,1,0.81,0.92,0.89,0,0,1,0,0
163,0,1,0,1.0,1,0,0.44,0.53,0.56,0,1,0,0,0
164,0,3,1,1.0,2,0,0.7,0.76,0.77,0,0,1,0,0
165,0,5,0,1.0,2,1,0.54,0.72,0.65,0,1,0,0,0
166,0,0,1,1.0,2,1,0.99,1.0,1.0,0,0,0,1,0
167,1,5,0,1.0,1,0,0.6,0.68,0.75,0,0,1,0,0
168,0,2,0,0.0,1,1,0.46,0.64,0.66,0,0,1,0,0
170,0,3,1,0.0,1,0,0.63,0.67,0.68,0,0,0,1,0
171,1,3,0,1.0,0,0,0.61,0.65,0.62,0,0,1,0,0
172,1,1,1,0.0,0,0,0.75,0.73,0.62,0,0,0,0,1
173,1,0,1,1.0,1,1,0.62,0.66,0.68,0,0,0,1,0
174,1,0,0,0.0,2,0,0.47,0.51,0.45,0,1,0,0,0
175,0,4,1,0.0,1,0,0.74,0.86,0.85,0,0,1,0,0
176,0,3,1,0.0,1,1,0.66,0.65,0.69,0,0,0,0,1
177,1,2,1,1.0,1,0,0.73,0.81,0.77,0,0,0,1,0
180,0,5,1,1.0,2,0,0.69,0.85,0.87,0,0,1,0,0
181,1,3,1,0.0,2,0,0.6,0.54,0.52,0,0,0,1,0
184,0,2,0,0.0,2,2,0.47,0.54,0.57,0,1,0,0,0
185,0,4,0,0.5,2,1,0.8,0.8,0.77,0,1,0,0,0
186,0,3,1,1.0,2,0,0.66,0.83,0.86,0,0,1,0,0
187,0,2,0,0.0,1,0,0.63,0.79,0.75,0,0,0,1,0
188,1,3,1,0.0,1,1,0.69,0.77,0.69,0,0,1,0,0
190,1,2,1,0.0,2,0,0.58,0.4,0.42,0,0,1,0,0
192,1,4,1,0.0,2,1,0.84,0.62,0.63,0,0,0,0,1
193,1,1,1,1.0,2,1,0.83,0.81,0.77,0,0,0,0,1
194,0,2,0,0.0,2,0,0.73,0.8,0.76,0,1,0,0,0
196,1,0,0,1.0,1,0,0.77,0.77,0.77,0,0,0,1,0
197,1,2,0,0.5,1,1,0.35,0.28,0.27,0,0,1,0,0
198,0,1,0,0.0,1,1,0.42,0.62,0.6,0,0,1,0,0
199,1,3,0,1.0,2,1,0.61,0.51,0.57,0,0,1,0,0
200,1,1,1,0.5,1,1,0.87,0.91,0.81,0,0,0,0,1
201,1,0,1,1.0,2,1,0.86,0.84,0.76,0,1,0,0,0
202,0,3,0,1.0,1,0,0.8,0.84,0.86,0,0,0,0,1
203,0,1,0,0.5,2,0,0.33,0.41,0.39,0,0,1,0,0
204,1,1,0,0.0,1,0,0.64,0.75,0.68,0,1,0,0,0
205,1,0,1,1.0,0,1,0.59,0.55,0.54,0,1,0,0,0
206,0,1,1,1.0,2,1,0.57,0.69,0.75,0,0,0,1,0
207,1,3,1,0.0,1,2,0.89,0.86,0.74,0,1,0,0,0
208,0,0,0,0.5,1,1,0.55,0.65,0.62,0,0,1,0,0
209,1,0,1,0.0,2,1,0.88,0.81,0.76,0,0,0,1,0
210,0,3,1,1.0,2,2,0.55,0.67,0.76,0,1,0,0,0
211,0,5,0,0.0,1,0,0.43,0.55,0.52,0,0,0,0,1
212,0,2,1,0.0,1,1,0.72,0.72,0.71,0,0,1,0,0
213,1,1,1,0.0,2,1,0.58,0.5,0.55,0,0,0,1,0
215,0,2,1,1.0,2,2,0.93,0.97,0.98,0,0,1,0,0
216,1,2,1,0.0,2,1,0.78,0.64,0.67,0,0,0,1,0
217,1,3,1,0.0,2,1,0.47,0.43,0.43,0,0,1,0,0
218,0,4,1,0.0,1,1,0.67,0.86,0.83,0,1,0,0,0
219,1,0,1,0.0,1,2,0.94,0.88,0.79,0,0,0,0,1
220,1,4,1,1.0,1,2,0.85,0.83,0.85,0,0,1,0,0
221,1,3,1,0.0,2,2,0.84,0.77,0.8,0,0,0,1,0
222,1,4,0,0.0,2,0,0.62,0.65,0.67,0,0,0,1,0
223,0,0,1,0.5,1,0,0.62,0.59,0.72,0,0,0,1,0
224,1,2,1,0.0,2,2,0.57,0.53,0.53,0,1,0,0,0
225,1,3,1,0.0,1,1,0.84,0.8,0.8,0,0,1,0,0
227,0,4,1,0.0,2,1,0.82,0.84,0.85,0,0,0,0,1
228,1,2,1,0.5,2,0,0.58,0.5,0.43,0,0,0,0,1
229,1,0,1,0.0,2,0,0.74,0.73,0.69,0,0,0,1,0
230,1,3,1,0.0,1,0,0.82,0.74,0.69,0,0,1,0,0
231,1,3,1,0.5,2,1,0.91,0.77,0.75,0,0,0,0,1
232,0,1,1,1.0,1,1,0.58,0.7,0.68,0,1,0,0,0
233,0,1,1,0.0,1,0,0.63,0.63,0.6,0,1,0,0,0
235,1,0,1,1.0,1,1,0.47,0.49,0.49,1,0,0,0,0
236,0,2,0,0.0,2,0,0.7,0.82,0.83,0,0,0,1,0
237,0,0,1,1.0,1,1,0.6,0.7,0.7,0,1,0,0,0
239,1,1,1,0.0,1,1,0.54,0.52,0.52,0,0,0,1,0
240,0,2,1,0.0,1,1,0.62,0.73,0.7,0,0,0,0,1
241,0,3,0,0.0,1,0,0.62,0.71,0.66,0,0,1,0,0
243,0,0,0,1.0,1,2,0.65,0.8,0.78,0,0,1,0,0
244,1,2,1,1.0,1,1,0.79,0.79,0.78,0,0,1,0,0
245,0,0,0,0.0,2,1,0.45,0.5,0.52,0,0,1,0,0
246,0,1,1,0.0,1,1,0.99,0.93,0.9,0,0,0,0,1
247,1,1,1,0.0,1,1,0.76,0.73,0.68,0,0,0,1,0
248,1,0,0,0.0,1,0,0.57,0.41,0.4,0,0,0,1,0
250,0,1,1,0.0,2,1,0.71,0.73,0.78,0,0,0,1,0
251,0,3,1,1.0,2,2,0.93,0.94,0.99,0,0,0,1,0
253,1,4,1,0.0,1,1,0.69,0.63,0.61,0,0,1,0,0
254,1,2,1,0.5,2,0,0.57,0.48,0.42,0,0,1,0,0
255,0,3,0,0.0,2,1,0.48,0.53,0.59,0,0,0,1,0
256,0,2,1,0.0,1,1,0.65,0.7,0.71,0,0,0,1,0
258,1,4,1,0.0,1,1,0.83,0.78,0.73,0,0,1,0,0
259,0,0,1,1.0,1,0,0.82,0.9,0.91,0,0,1,0,0
261,0,0,0,0.0,1,1,0.65,0.86,0.8,0,0,1,0,0
262,1,4,0,0.0,1,1,0.73,0.56,0.57,0,1,0,0,0
263,1,1,1,0.0,1,1,0.45,0.48,0.46,0,0,0,1,0
264,0,4,0,0.0,2,1,0.75,0.8,0.86,0,0,0,1,0
265,0,2,0,1.0,0,1,0.67,0.76,0.76,0,0,0,1,0
267,1,3,1,1.0,0,1,0.78,0.8,0.79,0,1,0,0,0
268,1,3,1,1.0,2,1,0.99,0.83,0.9,0,0,0,0,1
269,0,0,1,0.0,1,0,0.64,0.87,0.8,0,1,0,0,0
270,1,4,0,0.0,1,0,0.85,0.73,0.74,0,1,0,0,0
272,1,3,1,0.0,1,1,0.76,0.7,0.68,0,0,1,0,0
273,1,0,1,0.0,1,0,0.83,0.71,0.68,0,0,0,1,0
274,1,0,1,1.0,0,1,0.61,0.59,0.55,0,0,1,0,0
275,0,4,1,0.0,1,2,0.66,0.74,0.76,0,0,0,0,1
276,1,1,0,1.0,2,1,0.8,0.78,0.82,0,0,0,1,0
277,1,3,0,0.0,0,2,0.66,0.61,0.59,0,1,0,0,0
281,1,3,0,0.0,2,0,0.89,0.86,0.75,0,0,0,1,0
282,1,2,0,1.0,0,0,0.76,0.75,0.77,1,0,0,0,0
283,1,0,0,0.5,2,0,0.55,0.53,0.52,0,0,0,1,0
284,0,3,1,1.0,0,2,0.66,0.83,0.8,0,0,1,0,0
285,1,3,1,0.0,2,1,0.82,0.77,0.65,0,1,0,0,0
286,0,3,1,1.0,2,1,0.76,0.76,0.85,0,0,1,0,0
287,1,2,1,0.0,1,1,0.69,0.67,0.69,1,0,0,0,0
288,1,2,1,1.0,2,1,1.0,0.88,0.83,0,0,0,0,1
289,1,0,1,0.0,2,1,0.52,0.52,0.45,0,0,1,0,0
290,0,3,0,0.0,2,2,0.56,0.73,0.7,0,1,0,0,0
291,0,1,0,0.5,2,0,0.48,0.56,0.52,0,0,0,1,0
292,0,3,1,0.0,1,1,0.73,0.76,0.8,0,1,0,0,0
293,1,4,1,0.0,0,0,0.62,0.58,0.54,0,1,0,0,0
295,0,3,0,1.0,1,2,0.7,0.68,0.7,0,0,1,0,0
296,1,1,1,0.0,2,1,0.73,0.66,0.66,0,0,1,0,0
297,0,5,1,1.0,0,1,0.74,0.8,0.88,0,0,0,1,0
298,1,3,1,0.0,1,1,0.83,0.72,0.78,0,0,1,0,0
299,1,4,1,0.0,1,0,0.61,0.69,0.67,0,1,0,0,0
300,0,3,0,0.0,2,0,0.55,0.64,0.63,0,0,0,1,0
301,0,1,0,0.5,1,0,0.64,0.77,0.82,0,0,1,0,0
302,0,1,1,0.0,0,2,0.74,0.85,0.78,0,0,0,0,1
303,0,2,1,0.0,2,0,0.7,0.8,0.8,0,0,1,0,0
304,0,0,0,0.0,1,1,0.4,0.52,0.51,0,0,1,0,0
305,0,1,0,0.0,1,0,0.39,0.45,0.42,0,0,1,0,0
306,0,2,1,0.0,1,1,0.82,0.9,0.94,0,0,1,0,0
307,1,2,1,0.0,1,1,0.61,0.61,0.62,0,0,1,0,0
308,1,2,0,0.0,2,2,0.29,0.23,0.19,1,0,0,0,0
309,1,3,1,1.0,1,1,0.82,0.75,0.77,0,0,1,0,0
310,0,0,1,0.0,1,0,0.39,0.54,0.49,0,1,0,0,0
311,1,1,1,0.0,2,0,0.7,0.59,0.61,0,0,1,0,0
312,1,3,1,0.0,1,0,0.45,0.36,0.34,0,0,1,0,0
313,1,3,1,1.0,0,2,0.61,0.55,0.52,0,0,0,0,1
314,1,3,1,0.0,1,1,0.9,0.78,0.81,0,1,0,0,0
316,0,2,0,0.0,2,1,0.62,0.69,0.67,0,1,0,0,0
317,1,0,1,1.0,2,1,0.78,0.71,0.7,0,0,0,1,0
318,1,3,1,0.0,2,1,0.5,0.51,0.44,0,0,1,0,0
319,0,0,0,0.0,1,0,0.23,0.37,0.26,0,1,0,0,0
320,0,0,0,1.0,1,1,0.35,0.55,0.6,0,0,0,1,0
321,1,1,0,0.0,2,2,0.61,0.62,0.54,0,0,1,0,0
324,1,3,1,1.0,1,0,0.64,0.7,0.65,0,0,0,1,0
325,1,2,1,0.0,2,0,0.78,0.72,0.67,0,0,0,1,0
326,0,1,1,0.0,1,1,0.72,0.8,0.75,0,0,1,0,0
328,0,4,1,1.0,2,0,0.76,0.93,0.95,0,0,1,0,0
329,1,3,1,0.0,2,2,0.92,0.76,0.79,0,0,0,0,1
330,0,4,1,0.0,1,1,0.52,0.65,0.69,0,1,0,0,0
332,0,2,1,1.0,1,0,0.61,0.76,0.78,0,0,1,0,0
333,0,3,1,0.0,2,0,0.45,0.57,0.57,0,0,1,0,0
334,0,2,1,0.0,0,0,0.55,0.68,0.66,0,0,1,0,0
335,0,4,1,0.0,2,2,0.64,0.74,0.73,0,1,0,0,0
337,0,2,0,1.0,1,0,0.4,0.65,0.67,0,0,1,0,0
338,0,2,1,0.0,1,0,0.77,0.88,0.87,0,0,0,1,0
339,0,1,1,0.0,0,1,0.56,0.61,0.57,0,1,0,0,0
340,1,0,1,1.0,2,1,0.87,0.85,0.79,0,1,0,0,0
341,0,2,1,0.0,2,1,0.53,0.58,0.59,0,0,1,0,0
342,0,0,0,0.0,1,0,0.26,0.33,0.31,0,0,0,1,0
343,1,2,1,0.0,2,1,0.6,0.6,0.59,0,0,1,0,0
344,1,4,0,1.0,2,2,0.51,0.59,0.62,1,0,0,0,0
345,1,1,1,1.0,1,1,0.69,0.58,0.53,0,0,1,0,0
346,1,4,0,0.0,2,2,0.64,0.67,0.63,0,0,1,0,0
347,0,0,0,0.0,1,1,0.44,0.64,0.58,1,0,0,0,0
348,0,0,1,0.0,2,1,0.71,0.83,0.84,0,0,0,1,0
349,1,2,1,0.0,2,1,0.86,0.78,0.72,0,0,0,0,1
350,0,2,0,1.0,1,1,0.45,0.73,0.7,0,0,1,0,0
351,1,0,1,0.0,1,2,0.76,0.75,0.73,0,0,0,1,0
352,0,2,1,1.0,1,2,0.84,0.98,0.97,0,0,0,1,0
353,0,4,1,0.0,1,2,0.6,0.71,0.74,0,0,0,1,0
354,0,0,1,0.0,1,2,0.82,0.91,0.83,0,0,0,1,0
355,0,5,0,1.0,1,1,0.85,0.95,1.0,0,0,0,1,0
356,0,0,1,0.0,1,2,0.73,0.84,0.78,1,0,0,0,0
357,1,4,1,0.0,2,1,0.67,0.64,0.63,1,0,0,0,0
358,0,3,1,0.0,1,1,0.8,0.86,0.83,0,1,0,0,0
359,1,3,1,1.0,1,0,0.84,0.98,0.93,0,0,1,0,0
360,1,5,0,0.0,1,1,0.79,0.82,0.73,0,0,1,0,0
361,0,0,0,0.0,2,2,0.4,0.5,0.47,0,0,0,0,1
362,0,0,0,0.0,0,1,0.35,0.41,0.4,1,0,0,0,0
363,0,2,1,0.0,2,1,0.69,0.77,0.76,0,0,0,0,1
364,0,4,1,0.0,1,0,0.62,0.71,0.68,0,0,0,0,1
366,0,1,1,0.0,1,1,0.62,0.64,0.64,0,0,0,1,0
367,1,5,1,0.0,1,0,0.71,0.7,0.75,0,0,0,1,0
368,1,0,0,1.0,2,1,0.75,0.68,0.6,0,0,0,0,1
369,0,2,1,0.0,1,0,0.74,0.66,0.75,0,0,0,1,0
370,1,2,1,0.0,1,2,0.78,0.68,0.68,0,0,0,0,1
371,1,3,1,1.0,2,2,0.6,0.55,0.58,0,0,1,0,0
372,0,0,1,1.0,1,1,0.65,0.74,0.77,0,0,1,0,0
373,0,1,0,0.0,0,1,0.48,0.65,0.61,0,1,0,0,0
374,1,0,1,0.0,2,0,0.73,0.62,0.57,0,1,0,0,0
375,1,0,1,0.0,0,0,0.56,0.57,0.51,0,0,0,1,0
376,0,0,1,1.0,2,1,0.6,0.54,0.68,0,0,1,0,0
378,0,2,0,0.0,2,2,0.51,0.66,0.57,1,0,0,0,0
379,0,1,1,1.0,1,1,0.88,0.99,1.0,0,0,0,1,0
380,0,1,1,0.0,2,1,0.55,0.59,0.63,0,0,1,0,0
381,0,0,1,0.0,2,0,0.62,0.72,0.68,0,0,1,0,0
382,1,3,1,1.0,2,2,0.68,0.66,0.65,0,1,0,0,0
383,0,3,1,0.5,2,1,0.84,0.81,0.78,0,1,0,0,0
384,0,1,0,1.0,1,1,0.52,0.57,0.56,0,0,0,1,0
385,1,3,1,1.0,0,2,0.86,0.83,0.84,0,0,0,1,0
386,0,5,1,1.0,2,1,0.72,0.73,0.78,0,0,0,1,0
390,1,1,1,0.0,2,1,0.86,0.74,0.7,0,0,0,0,1
391,1,4,1,1.0,1,0,0.68,0.72,0.66,0,0,1,0,0
392,1,3,1,0.0,1,0,0.71,0.71,0.65,0,0,1,0,0
393,1,2,1,0.0,2,1,0.7,0.59,0.63,0,0,0,1,0
394,1,1,0,1.0,1,1,0.57,0.56,0.54,0,0,0,0,1
395,0,1,1,1.0,2,0,0.56,0.57,0.64,0,0,0,1,0
396,0,5,0,1.0,0,2,0.47,0.59,0.68,0,0,0,1,0
397,0,0,1,1.0,1,0,0.57,0.83,0.78,1,0,0,0,0
400,1,4,1,0.0,2,1,0.88,0.84,0.88,0,0,1,0,0
401,1,0,0,0.0,2,1,0.71,0.72,0.66,0,0,1,0,0
403,1,0,0,0.0,1,2,0.7,0.63,0.55,0,0,1,0,0
406,1,1,1,0.0,0,0,0.57,0.54,0.52,0,0,1,0,0
407,0,0,0,0.0,1,0,0.45,0.58,0.49,1,0,0,0,0
410,1,3,1,0.0,2,1,0.77,0.69,0.65,0,0,0,1,0
412,1,1,1,0.5,2,0,0.69,0.55,0.51,0,0,1,0,0
413,1,0,1,1.0,1,1,0.89,0.88,0.82,0,0,0,1,0
416,0,0,0,0.0,1,1,0.59,0.73,0.69,1,0,0,0,0
418,1,0,0,0.0,1,1,0.79,0.82,0.73,1,0,0,0,0
419,0,0,1,1.0,2,1,0.69,0.75,0.78,0,0,1,0,0
420,1,2,0,0.0,2,2,0.73,0.67,0.62,0,0,0,1,0
421,1,1,1,1.0,2,2,0.91,0.83,0.83,0,0,1,0,0
422,1,1,1,0.0,2,1,0.48,0.46,0.43,0,1,0,0,0
423,1,3,1,0.0,2,1,0.83,0.74,0.73,0,1,0,0,0
424,0,2,0,1.0,1,1,0.64,0.85,0.85,0,0,1,0,0
425,0,2,1,0.0,1,1,1.0,0.92,0.97,0,0,0,0,1
426,0,3,0,0.0,2,2,0.68,0.79,0.77,0,0,1,0,0
427,1,2,0,0.0,0,2,0.64,0.57,0.48,0,0,1,0,0
